"","",""
"","",""
"Vloerverwarming/koeling tsa 4 Begane grond","Ber. aanvoertemperatuur bedrijf - Temp.regelw. koe","Windheim_OS12_GRFSYS_13"
"Vloerverwarming/koeling tsa 4 Begane grond","Aanvoertemperatuur - 12-312TE01","Windheim_OS12_GRFMET_6"
"Vloerverwarming/koeling tsa 4 Begane grond","Ruimtetemperatuur - 12-312TT01","Windheim_OS12_GRFMET_8"
"Vloerverwarming/koeling tsa 4 Begane grond","Relatief ruimtevocht - 12-312MT01","Windheim_OS12_GRFMET_9"
"Vloerverwarming/koeling tsa 4 Begane grond","Retourtemperatuur - 12-312TE02","Windheim_OS12_GRFMET_7"
"Vloerverwarming/koeling tsa 4 Begane grond","Instalatiedruk sec. - 12-312PT01","Windheim_OS12_GRFMET_1"
"Vloerverwarming/koeling tsa 4 Begane grond","Afsluiter status regeling - Afsluiter koelen - 12-","Windheim_OS12_GRFSYS_17"
"Vloerverwarming/koeling tsa 4 Begane grond","Afsluiter status regeling - Afsluiter verwarmen - ","Windheim_OS12_GRFSYS_15"
"Vloerverwarming/koeling tsa 4 Begane grond","Afsluiter verwarmen percentage - Afsluiter verwarm","Windheim_OS12_GRFSYS_14"
"Vloerverwarming/koeling tsa 4 Begane grond","Afsluiter koelen percentage - Afsluiter koelen - 1","Windheim_OS12_GRFSYS_16"
"Vloerverwarming/koeling tsa 4 Begane grond","Circulatiepomp (status) - Circulatiepomp - 12-312P","Windheim_OS12_GRFSYS_40"
"","",""
"Vloerverwarming/koeling tsa 5 Plintgebouw","Ber. aanvoertemperatuur bedrijf - Temp.regelw. ver","Windheim_OS12_GRFSYS_23"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Ber. aanvoertemperatuur bedrijf - Temp.regelw. koe","Windheim_OS12_GRFSYS_26"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Aanvoertemperatuur - 12-313TE01","Windheim_OS12_GRFMET_15"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Ruimtetemp. gemiddeld","Windheim_OS12_GRFSYS_19"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Ruimtevocht gemiddeld","Windheim_OS12_GRFSYS_21"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Circulatiepomp (status) - Circulatiepomp - 12-313P","Windheim_OS12_GRFSYS_33"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Retourtemperatuur - 12-313TE02","Windheim_OS12_GRFMET_16"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Instalatiedruk sec. - 12-313PT01","Windheim_OS12_GRFMET_10"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Afsluiter status regeling - Afsluiter koelen - 12-","Windheim_OS12_GRFSYS_32"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Afsluiter status regeling - Afsluiter verwarmen - ","Windheim_OS12_GRFSYS_30"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Afsluiter koelen percentage - Afsluiter koelen - 1","Windheim_OS12_GRFSYS_31"
"Vloerverwarming/koeling tsa 5 Plintgebouw","Afsluiter verwarmen percentage - Afsluiter verwarm","Windheim_OS12_GRFSYS_29"
"","",""
"","",""
"Vloerverwarming/koeling tsa 7 Lobby","Ber. aanvoertemperatuur bedrijf - Temp.regelw. ver","Windheim_OS18_GRFSYS_4"
"Vloerverwarming/koeling tsa 7 Lobby","Ber. aanvoertemperatuur bedrijf - Temp.regelw. koe","Windheim_OS18_GRFSYS_8"
